sequence_id,sequence_type,sequence_key_event,event_position,sequence_length,is_key_event,match_id,id,index,minute,second,period,timestamp,type,possession_team,location,player,player_id,team,position,shot,pass,dribble,carry,duel,interception,clearance,goalkeeper,under_pressure,counterpress,play_pattern,duration,related_events,home_team_name,away_team_name
3,pressure_sequence,Pressure,3,5,True,3943043,c57df114-dea7-41d2-a984-4e02aa3564fb,16,0,38,1,00:00:38.876,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[94.7, 4.1]","{'id': 30714, 'name': 'Jude Bellingham'}",,"{'id': 768, 'name': 'England'}","{'id': 21, 'name': 'Left Wing'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",0.543418,['786c039a-7010-475c-9a75-9bf41b4e5700'],Spain,England
3,pressure_sequence,Pressure,4,5,False,3943043,dd8cccdf-05dc-41ca-b617-8812c416d5d2,17,0,39,1,00:00:39.436,"{'id': 30, 'name': 'Pass'}","{'id': 772, 'name': 'Spain'}","[28.6, 76.4]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,"{'recipient': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'length': 22.999348, 'angle': -0.35062835, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [50.2, 68.5], 'body_part': {'id': 40, 'name': 'Right Foot'}}",,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",1.076726,['f43a51ca-9b72-4882-806f-49feb5e87036'],Spain,England
3,pressure_sequence,Pressure,5,5,False,3943043,b52e2b43-5a0b-4503-b8f5-68c2d6e283f9,18,0,40,1,00:00:40.334,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[69.9, 11.6]","{'id': 3943, 'name': 'Declan Rice'}",,"{'id': 768, 'name': 'England'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",0.29247,"['9072242c-b13e-4e85-8578-8cd9a606a614', 'f43a51ca-9b72-4882-806f-49feb5e87036']",Spain,England
4,pressure_sequence,Pressure,1,5,False,3943043,c57df114-dea7-41d2-a984-4e02aa3564fb,16,0,38,1,00:00:38.876,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[94.7, 4.1]","{'id': 30714, 'name': 'Jude Bellingham'}",,"{'id': 768, 'name': 'England'}","{'id': 21, 'name': 'Left Wing'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",0.543418,['786c039a-7010-475c-9a75-9bf41b4e5700'],Spain,England
4,pressure_sequence,Pressure,2,5,False,3943043,dd8cccdf-05dc-41ca-b617-8812c416d5d2,17,0,39,1,00:00:39.436,"{'id': 30, 'name': 'Pass'}","{'id': 772, 'name': 'Spain'}","[28.6, 76.4]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,"{'recipient': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'length': 22.999348, 'angle': -0.35062835, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [50.2, 68.5], 'body_part': {'id': 40, 'name': 'Right Foot'}}",,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",1.076726,['f43a51ca-9b72-4882-806f-49feb5e87036'],Spain,England
4,pressure_sequence,Pressure,3,5,True,3943043,b52e2b43-5a0b-4503-b8f5-68c2d6e283f9,18,0,40,1,00:00:40.334,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[69.9, 11.6]","{'id': 3943, 'name': 'Declan Rice'}",,"{'id': 768, 'name': 'England'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,,"{'id': 7, 'name': 'From Goal Kick'}",0.29247,"['9072242c-b13e-4e85-8578-8cd9a606a614', 'f43a51ca-9b72-4882-806f-49feb5e87036']",Spain,England
4,pressure_sequence,Pressure,4,5,False,3943043,f43a51ca-9b72-4882-806f-49feb5e87036,19,0,40,1,00:00:40.513,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[50.2, 68.5]","{'id': 16532, 'name': 'Daniel Olmo Carvajal'}",,"{'id': 772, 'name': 'Spain'}","{'id': 19, 'name': 'Center Attacking Midfield'}",,,,,,,,,True,,"{'id': 7, 'name': 'From Goal Kick'}",,"['b52e2b43-5a0b-4503-b8f5-68c2d6e283f9', 'dd8cccdf-05dc-41ca-b617-8812c416d5d2']",Spain,England
4,pressure_sequence,Pressure,5,5,False,3943043,9072242c-b13e-4e85-8578-8cd9a606a614,20,0,40,1,00:00:40.513,"{'id': 43, 'name': 'Carry'}","{'id': 772, 'name': 'Spain'}","[50.2, 68.5]","{'id': 16532, 'name': 'Daniel Olmo Carvajal'}",,"{'id': 772, 'name': 'Spain'}","{'id': 19, 'name': 'Center Attacking Midfield'}",,,,"{'end_location': [49.3, 68.9]}",,,,,True,,"{'id': 7, 'name': 'From Goal Kick'}",0.132449,"['2b4b2e7e-229a-41b6-91cc-c4e3de546443', 'b52e2b43-5a0b-4503-b8f5-68c2d6e283f9', 'f43a51ca-9b72-4882-806f-49feb5e87036']",Spain,England
5,dribble_sequence,Dribble,1,5,False,3943043,a3f49b07-cd8e-478f-bed7-316691df4bbf,74,1,38,1,00:01:38.008,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 768, 'name': 'England'}","[48.7, 3.7]","{'id': 3382, 'name': 'Luke Shaw'}",,"{'id': 768, 'name': 'England'}","{'id': 6, 'name': 'Left Back'}",,,,,,,,,True,,"{'id': 1, 'name': 'Regular Play'}",,"['c3cd286b-e2fd-4ee9-bc7f-2472d53e9496', 'cbaab758-636b-4b11-9080-6ba3f34154d5']",Spain,England
5,dribble_sequence,Dribble,2,5,False,3943043,c43798c8-f49c-49e8-a6ef-c5e1ad67ba8c,75,1,38,1,00:01:38.008,"{'id': 43, 'name': 'Carry'}","{'id': 768, 'name': 'England'}","[48.7, 3.7]","{'id': 3382, 'name': 'Luke Shaw'}",,"{'id': 768, 'name': 'England'}","{'id': 6, 'name': 'Left Back'}",,,,"{'end_location': [51.1, 2.4]}",,,,,True,,"{'id': 1, 'name': 'Regular Play'}",1.121557,"['73b54334-29d8-47ef-8fdc-31269256ec07', 'a3f49b07-cd8e-478f-bed7-316691df4bbf', 'c3cd286b-e2fd-4ee9-bc7f-2472d53e9496']",Spain,England
5,dribble_sequence,Dribble,3,5,True,3943043,73b54334-29d8-47ef-8fdc-31269256ec07,76,1,39,1,00:01:39.129,"{'id': 14, 'name': 'Dribble'}","{'id': 768, 'name': 'England'}","[51.1, 2.4]","{'id': 3382, 'name': 'Luke Shaw'}",,"{'id': 768, 'name': 'England'}","{'id': 6, 'name': 'Left Back'}",,,"{'nutmeg': True, 'outcome': {'id': 9, 'name': 'Incomplete'}}",,,,,,True,,"{'id': 1, 'name': 'Regular Play'}",0.0,['f30cd082-112d-4355-9708-2082263b136b'],Spain,England
5,dribble_sequence,Dribble,4,5,False,3943043,f30cd082-112d-4355-9708-2082263b136b,77,1,39,1,00:01:39.129,"{'id': 4, 'name': 'Duel'}","{'id': 772, 'name': 'Spain'}","[69.0, 77.7]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,,,,"{'type': {'id': 11, 'name': 'Tackle'}, 'outcome': {'id': 4, 'name': 'Won'}}",,,,True,True,"{'id': 1, 'name': 'Regular Play'}",0.0,['73b54334-29d8-47ef-8fdc-31269256ec07'],Spain,England
5,dribble_sequence,Dribble,5,5,False,3943043,f1a4ac63-5950-4858-8ffd-8c0875bacc40,78,1,39,1,00:01:39.129,"{'id': 43, 'name': 'Carry'}","{'id': 772, 'name': 'Spain'}","[69.0, 77.7]","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",,"{'id': 772, 'name': 'Spain'}","{'id': 2, 'name': 'Right Back'}",,,,"{'end_location': [35.8, 75.1]}",,,,,,,"{'id': 1, 'name': 'Regular Play'}",4.564949,"['c12b4dfc-db12-4f4c-a5db-8234027abb4b', 'f30cd082-112d-4355-9708-2082263b136b']",Spain,England
6,dribble_sequence,Dribble,1,5,False,3943043,1e1d7703-5df2-4757-9341-09c7391a774a,356,7,14,1,00:07:14.247,"{'id': 17, 'name': 'Pressure'}","{'id': 768, 'name': 'England'}","[110.0, 21.8]","{'id': 6655, 'name': 'Fabián Ruiz Peña'}",,"{'id': 772, 'name': 'Spain'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,True,"{'id': 1, 'name': 'Regular Play'}",1.194418,"['2fd324ef-d06b-4176-90d1-ffdc0503bc96', '51203b90-78ec-4e41-9851-bd1ab821b212', 'aeb87607-ca61-4512-a37b-993b12198d13']",Spain,England
6,dribble_sequence,Dribble,2,5,False,3943043,2619bf6a-e71a-4bf3-8702-fa4080dac20a,357,7,15,1,00:07:15.183,"{'id': 39, 'name': 'Dribbled Past'}","{'id': 768, 'name': 'England'}","[112.6, 23.4]","{'id': 6655, 'name': 'Fabián Ruiz Peña'}",,"{'id': 772, 'name': 'Spain'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,True,"{'id': 1, 'name': 'Regular Play'}",0.0,"['2fd324ef-d06b-4176-90d1-ffdc0503bc96', '51203b90-78ec-4e41-9851-bd1ab821b212']",Spain,England
6,dribble_sequence,Dribble,3,5,True,3943043,2fd324ef-d06b-4176-90d1-ffdc0503bc96,358,7,15,1,00:07:15.183,"{'id': 14, 'name': 'Dribble'}","{'id': 768, 'name': 'England'}","[7.5, 56.7]","{'id': 3943, 'name': 'Declan Rice'}",,"{'id': 768, 'name': 'England'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,"{'outcome': {'id': 8, 'name': 'Complete'}}",,,,,,True,,"{'id': 1, 'name': 'Regular Play'}",0.0,"['1e1d7703-5df2-4757-9341-09c7391a774a', '2619bf6a-e71a-4bf3-8702-fa4080dac20a']",Spain,England
6,dribble_sequence,Dribble,4,5,False,3943043,51203b90-78ec-4e41-9851-bd1ab821b212,359,7,15,1,00:07:15.183,"{'id': 43, 'name': 'Carry'}","{'id': 768, 'name': 'England'}","[7.5, 56.7]","{'id': 3943, 'name': 'Declan Rice'}",,"{'id': 768, 'name': 'England'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,"{'end_location': [3.0, 73.6]}",,,,,True,,"{'id': 1, 'name': 'Regular Play'}",2.398325,"['1e1d7703-5df2-4757-9341-09c7391a774a', '2619bf6a-e71a-4bf3-8702-fa4080dac20a', '2fd324ef-d06b-4176-90d1-ffdc0503bc96', '942ceeb4-883f-4963-a865-02b52c7200ad', 'cb7468ed-3f22-4f80-93f7-2c292838fbf4']",Spain,England
6,dribble_sequence,Dribble,5,5,False,3943043,cb7468ed-3f22-4f80-93f7-2c292838fbf4,360,7,17,1,00:07:17.315,"{'id': 17, 'name': 'Pressure'}","{'id': 768, 'name': 'England'}","[115.5, 9.8]","{'id': 6655, 'name': 'Fabián Ruiz Peña'}",,"{'id': 772, 'name': 'Spain'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,True,"{'id': 1, 'name': 'Regular Play'}",0.385355,"['51203b90-78ec-4e41-9851-bd1ab821b212', '942ceeb4-883f-4963-a865-02b52c7200ad']",Spain,England
7,shot_sequence,Shot,1,5,False,3943043,f8ab301d-db18-4bf5-957d-92716ba79594,487,11,8,1,00:11:08.897,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[99.4, 9.1]","{'id': 68574, 'name': 'Nicholas Williams Arthuer'}",,"{'id': 772, 'name': 'Spain'}","{'id': 21, 'name': 'Left Wing'}",,,,,,,,,,,"{'id': 3, 'name': 'From Free Kick'}",,['58f991d4-fef8-47d4-a7d3-bfcb2ea6b078'],Spain,England
7,shot_sequence,Shot,2,5,False,3943043,c78a00c3-39e1-4e9c-aa42-81b7e981d070,488,11,8,1,00:11:08.897,"{'id': 43, 'name': 'Carry'}","{'id': 772, 'name': 'Spain'}","[99.4, 9.1]","{'id': 68574, 'name': 'Nicholas Williams Arthuer'}",,"{'id': 772, 'name': 'Spain'}","{'id': 21, 'name': 'Left Wing'}",,,,"{'end_location': [115.6, 28.4]}",,,,,True,,"{'id': 3, 'name': 'From Free Kick'}",4.671013,"['29cfd49e-0efa-4bf1-858f-d7d05a555507', '3787ac1c-b077-4960-b717-ce3e7361f8a4', 'f8ab301d-db18-4bf5-957d-92716ba79594']",Spain,England
7,shot_sequence,Shot,3,5,False,3943043,29cfd49e-0efa-4bf1-858f-d7d05a555507,489,11,12,1,00:11:12.618,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[10.1, 54.2]","{'id': 3244, 'name': 'John Stones'}",,"{'id': 768, 'name': 'England'}","{'id': 3, 'name': 'Right Center Back'}",,,,,,,,,,,"{'id': 3, 'name': 'From Free Kick'}",0.999476,"['3787ac1c-b077-4960-b717-ce3e7361f8a4', 'c78a00c3-39e1-4e9c-aa42-81b7e981d070']",Spain,England
7,shot_sequence,Shot,4,5,True,3943043,3787ac1c-b077-4960-b717-ce3e7361f8a4,490,11,13,1,00:11:13.568,"{'id': 16, 'name': 'Shot'}","{'id': 772, 'name': 'Spain'}","[115.6, 28.4]","{'id': 68574, 'name': 'Nicholas Williams Arthuer'}",,"{'id': 772, 'name': 'Spain'}","{'id': 21, 'name': 'Left Wing'}","{'one_on_one': True, 'statsbomb_xg': 0.06802966, 'end_location': [116.0, 29.3], 'key_pass_id': '58f991d4-fef8-47d4-a7d3-bfcb2ea6b078', 'technique': {'id': 93, 'name': 'Normal'}, 'body_part': {'id': 38, 'name': 'Left Foot'}, 'type': {'id': 87, 'name': 'Open Play'}, 'outcome': {'id': 96, 'name': 'Blocked'}, 'freeze_frame': [{'location': [118.3, 36.0], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.4, 32.4], 'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.9, 22.6], 'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.4, 43.2], 'player': {'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.5, 34.4], 'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.2, 25.1], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 38.1], 'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.2, 42.6], 'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.1, 34.4], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.2, 33.3], 'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.3, 29.5], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]}",,,,,,,,True,,"{'id': 3, 'name': 'From Free Kick'}",0.050041,"['29cfd49e-0efa-4bf1-858f-d7d05a555507', '2ccb0034-7c38-4392-97b0-6136f0d01905', '432fb6c9-c079-4f97-b326-2fbb20a8dfa1']",Spain,England
7,shot_sequence,Shot,5,5,False,3943043,2ccb0034-7c38-4392-97b0-6136f0d01905,491,11,13,1,00:11:13.618,"{'id': 6, 'name': 'Block'}","{'id': 772, 'name': 'Spain'}","[4.1, 50.8]","{'id': 3244, 'name': 'John Stones'}",,"{'id': 768, 'name': 'England'}","{'id': 3, 'name': 'Right Center Back'}",,,,,,,,,,,"{'id': 3, 'name': 'From Free Kick'}",0.0,['3787ac1c-b077-4960-b717-ce3e7361f8a4'],Spain,England
8,shot_sequence,Shot,1,5,False,3943043,0c0e6467-4ce7-4a32-9de2-da2ed79db032,497,12,20,1,00:12:20.684,"{'id': 30, 'name': 'Pass'}","{'id': 772, 'name': 'Spain'}","[114.2, 48.3]","{'id': 6765, 'name': 'Rodrigo Hernández Cascante'}",,"{'id': 772, 'name': 'Spain'}","{'id': 9, 'name': 'Right Defensive Midfield'}",,"{'recipient': {'id': 22128, 'name': 'Robin Aime Robert Le Normand'}, 'length': 12.169634, 'angle': -1.6778238, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [112.9, 36.2], 'assisted_shot_id': 'c825856a-5a21-4507-b9e2-ea07b5bf4cca', 'shot_assist': True, 'aerial_won': True}",,,,,,,True,,"{'id': 2, 'name': 'From Corner'}",0.950446,"['0b7c18af-c660-4091-8467-ec35499a36da', 'ca2b0a17-fd8f-4048-b7b0-ecef3c628269']",Spain,England
8,shot_sequence,Shot,2,5,False,3943043,0b354f36-d30a-4455-b47d-31594c752317,498,12,21,1,00:12:21.506,"{'id': 17, 'name': 'Pressure'}","{'id': 772, 'name': 'Spain'}","[8.3, 43.2]","{'id': 3943, 'name': 'Declan Rice'}",,"{'id': 768, 'name': 'England'}","{'id': 11, 'name': 'Left Defensive Midfield'}",,,,,,,,,,,"{'id': 2, 'name': 'From Corner'}",0.327752,"['0b7c18af-c660-4091-8467-ec35499a36da', 'c825856a-5a21-4507-b9e2-ea07b5bf4cca']",Spain,England
8,shot_sequence,Shot,3,5,False,3943043,0b7c18af-c660-4091-8467-ec35499a36da,499,12,21,1,00:12:21.635,"{'id': 42, 'name': 'Ball Receipt*'}","{'id': 772, 'name': 'Spain'}","[112.9, 36.2]","{'id': 22128, 'name': 'Robin Aime Robert Le Normand'}",,"{'id': 772, 'name': 'Spain'}","{'id': 3, 'name': 'Right Center Back'}",,,,,,,,,True,,"{'id': 2, 'name': 'From Corner'}",,"['0b354f36-d30a-4455-b47d-31594c752317', '0c0e6467-4ce7-4a32-9de2-da2ed79db032']",Spain,England
