minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
4,1,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:07] ⚠ FOUL by Lamine Yamal Nasraoui Ebana in the left midfield . Theo Bernard François Hernández is fouled Adrien Rabiot under pressure, delivers the free kick a medium pass forward along the ground to Kylian Mbappé Lottin into the right attacking third Kylian Mbappé Lottin receives under pressure in the right attacking third under pressure, delivers the free kick a dangerous short pass along the ground to Adrien Rabiot into the DANGER ZONE",16,N/A,0.2113,0.0339,0.21,0.39,0.2,0.0,0.0
4,2,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:51] Aymeric Laporte under pressure, plays a short pass to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a medium pass back along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives",22,N/A,0.1841,0.0384,0.1,0.414,0.3333333333333333,0.0,0.0
4,3,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:27] Kylian Mbappé Lottin under pressure, delivers the free kick a dangerous medium pass back along the ground to Adrien Rabiot into the central attacking third, but the pass doesn't find its target Adrien Rabiot receives under pressure in the right attacking third",17,N/A,0.159,0.0126,0.15,0.3143,0.0,0.0,0.0
4,4,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:29] Álvaro Borja Morata Martín wins the ball back under pressure, carries the ball - BUT LOSES IT! . Adrien Rabiot closes down Álvaro Borja Morata Martín . Álvaro Borja Morata Martín is dispossessed by Adrien Rabiot! . Adrien Rabiot in the duel",18,N/A,0.1062,0.0,0.0,0.3187,0.0,0.0,0.0
4,5,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,[3:37] N'Golo Kanté in the duel . Álvaro Borja Morata Martín closes down N'Golo Kanté,19,N/A,0.1028,0.0,0.0,0.3084,0.0,0.0,0.0
4,6,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:38] Jules Koundé under MASSIVE pressure, plays a short pass forward along the ground to Ousmane Dembélé Ousmane Dembélé receives under pressure, plays a short pass along the ground to N'Golo Kanté N'Golo Kanté receives under pressure, plays a medium pass forward along the ground to Randal Kolo Muani, but the pass doesn't find its target",20,N/A,0.1004,0.0,0.0,0.3011,0.0,0.0,0.0
4,7,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[2:59] From the goal kick, Aurélien Djani Tchouaméni under pressure, plays a long pass forward along the ground to Theo Bernard François Hernández Theo Bernard François Hernández receives under pressure, carries the ball From the goal kick, Theo Bernard François Hernández under pressure, plays a medium pass forward along the ground to Kylian Mbappé Lottin Kylian Mbappé Lottin receives",15,N/A,0.0993,0.0,0.0,0.298,0.0,0.0,0.0
4,8,"CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar. CHANCE!  Yamal and Ruiz are involved again for Spain, with the former this time setting up the latter from right to left. However, Ruiz can only head his effort at the far post over the crossbar.",key_event,"[3:45] Nicholas Williams Arthuer under pressure, carries the ball - BUT LOSES IT! . N'Golo Kanté closes down Nicholas Williams Arthuer . Nicholas Williams Arthuer takes on the defender . N'Golo Kanté in the duel Jules Koundé wins the ball back",21,N/A,0.0894,0.0,0.0,0.2681,0.0,0.0,0.0
6,1,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,"[5:34] From the goal kick, Kylian Mbappé Lottin under pressure, plays a medium pass back along the ground to Aurélien Djani Tchouaméni Aurélien Djani Tchouaméni receives under pressure, carries the ball from the right midfield into the central midfield From the goal kick, Aurélien Djani Tchouaméni under pressure, plays a long pass along the ground to Jules Koundé Jules Koundé receives",31,N/A,0.2419,0.0156,0.15,0.56,0.5,0.0,0.0
6,2,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,"[5:24] Aurélien Djani Tchouaméni under pressure, carries the ball From the goal kick, Aurélien Djani Tchouaméni under pressure, plays a long pass along the ground to Theo Bernard François Hernández Theo Bernard François Hernández receives under pressure, carries the ball From the goal kick, Theo Bernard François Hernández under pressure, plays a medium pass forward along the ground to Kylian Mbappé Lottin",30,N/A,0.2208,0.021,0.15,0.4915,0.5,0.0,0.0
6,3,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,"[5:12] From the goal kick, William Saliba under pressure, plays a medium pass along the ground to Mike Maignan Mike Maignan receives From the goal kick, Mike Maignan under pressure, plays a long ball forward through the air to Randal Kolo Muani, but the pass doesn't find its target Randal Kolo Muani receives . From the goal kick, Aymeric Laporte under pressure, plays a medium pass forward through the air to Fabián Ruiz Peña, but the pass doesn't find its target",29,N/A,0.1538,0.007,0.0,0.4544,0.0,0.0,0.0
6,4,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,"[5:45] From the goal kick, Aurélien Djani Tchouaméni under pressure, plays a short pass along the ground to Dayotchanculle Upamecano Dayotchanculle Upamecano receives under pressure, carries the ball From the goal kick, Dayotchanculle Upamecano under pressure, plays a short pass along the ground to Aurélien Djani Tchouaméni Aurélien Djani Tchouaméni receives",32,N/A,0.1424,0.0076,0.0,0.4195,0.0,0.0,0.0
6,5,Kylian Mbappe - without his mask tonight after breaking his nose at the start of the tournament - had the ball poked away from his feet on the edge of the penalty area by Jesus Navas.,general,"[5:53] Nicholas Williams Arthuer closes down Jules Koundé . From the goal kick, Jules Koundé under MASSIVE pressure, plays a short pass along the ground to Ousmane Dembélé Ousmane Dembélé receives under pressure in the left attacking third under pressure, carries the ball - BUT LOSES IT! . Nicholas Williams Arthuer closes down Ousmane Dembélé",33,N/A,0.1303,0.0086,0.0,0.3823,0.0,0.0,0.0
9,1,GOAL!  SPAIN 0-1 FRANCE (KOLO MUANI),key_event,[8:01] Randal Kolo Muani receives under pressure in the central attacking third  GOOOAL! Randal Kolo Muani scores! A brilliant header from close range (5m)! France now lead 1-0! His first goal of the tournament in the 8th minute! . The goalkeeper deals with it,43,N/A,0.5025,0.2334,0.55,0.7241,1.0,0.2,1.0
9,2,GOAL!  SPAIN 0-1 FRANCE (KOLO MUANI),key_event,"[7:43] Aurélien Djani Tchouaméni under pressure, delivers the free kick a long pass along the ground to Adrien Rabiot Adrien Rabiot receives under pressure, drives forward with the ball from the left midfield into the left attacking third under pressure, delivers the free kick a short pass along the ground to Ousmane Dembélé Ousmane Dembélé receives",42,N/A,0.099,0.0,0.0,0.2969,0.0,0.0,0.0
11,1,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:48] William Saliba closes down the ball carrier . Daniel Olmo Carvajal wins the ball back under pressure, carries the ball - NOW IN THE DANGER ZONE! - BUT LOSES IT! . Theo Bernard François Hernández closes down Daniel Olmo Carvajal . Daniel Olmo Carvajal under MASSIVE pressure, plays a dangerous short pass along the ground to Álvaro Borja Morata Martín into the central attacking third, but the pass doesn't find its target",52,N/A,0.1257,0.0,0.0,0.3772,0.0,0.0,0.0
11,2,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:21] Rodrigo Hernández Cascante wins the ball back under pressure, drives forward with the ball - BUT LOSES IT! . N'Golo Kanté closes down Rodrigo Hernández Cascante . Rodrigo Hernández Cascante under MASSIVE pressure, plays a short pass back to Marc Cucurella Saseta Marc Cucurella Saseta receives",49,N/A,0.1105,0.0,0.0,0.3314,0.0,0.0,0.0
11,3,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:54] Fabián Ruiz Peña receives under pressure in the central attacking third under pressure, carries the ball - BUT LOSES IT! . Aurélien Djani Tchouaméni closes down Fabián Ruiz Peña . Fabián Ruiz Peña under MASSIVE pressure, plays a short pass along the ground to Nicholas Williams Arthuer . Jules Koundé closes down Fabián Ruiz Peña",53,N/A,0.1052,0.0,0.0,0.3155,0.0,0.0,0.0
11,4,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:10] Daniel Olmo Carvajal under pressure, plays a medium pass forward along the ground to Jesús Navas González into the left attacking third Jesús Navas González receives under pressure in the left attacking third under pressure, carries the ball - BUT LOSES IT! . Kylian Mbappé Lottin closes down Jesús Navas González . Jesús Navas González under MASSIVE pressure, plays a long ball forward through the air to Nicholas Williams Arthuer into the right attacking third, but the pass doesn't find its target",47,N/A,0.0969,0.0,0.0,0.2908,0.0,0.0,0.0
11,5,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:17] Jules Koundé under pressure, plays a short pass to Ousmane Dembélé . Marc Cucurella Saseta closes down Jules Koundé . Ousmane Dembélé receives under pressure, carries the ball under pressure, plays a short pass to Jules Koundé",48,N/A,0.0958,0.0,0.0,0.2875,0.0,0.0,0.0
11,6,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:34] Rodrigo Hernández Cascante receives under pressure, carries the ball under pressure, plays a short pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball",50,N/A,0.0915,0.0,0.0,0.2745,0.0,0.0,0.0
11,7,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[10:40] Fabián Ruiz Peña under pressure, carries the ball from the central midfield into the central attacking third under pressure, plays a medium pass forward along the ground to Lamine Yamal Nasraoui Ebana into the left attacking third Lamine Yamal Nasraoui Ebana receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a dangerous medium pass along the ground to Daniel Olmo Carvajal into the central attacking third",51,N/A,0.0858,0.0,0.0,0.2574,0.0,0.0,0.0
11,8,GOAL!  France finally score their first goal of Euro 2024 from open play!,key_event,"[9:58] Marc Cucurella Saseta under pressure, carries the ball under pressure, plays a medium pass back along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a long pass along the ground to José Ignacio Fernández Iglesias",46,N/A,0.0751,0.0,0.0,0.2253,0.0,0.0,0.0
13,1,Spain have responded well to going a goal behind as they pile bodies forward and look threatening on both wings with Yamal and Nico Williams.,general,"[12:28] N'Golo Kanté closes down the ball carrier . Nicholas Williams Arthuer under MASSIVE pressure, plays a dangerous short pass along the ground to Marc Cucurella Saseta into the DANGER ZONE, but it goes out of play Marc Cucurella Saseta receives under pressure in the right attacking third",64,N/A,0.155,0.0133,0.1,0.3518,0.3333333333333333,0.0,0.0
13,2,Spain have responded well to going a goal behind as they pile bodies forward and look threatening on both wings with Yamal and Nico Williams.,general,"[11:59] William Saliba receives under pressure, carries the ball - BUT LOSES IT! . Fabián Ruiz Peña closes down William Saliba . William Saliba under MASSIVE pressure, plays a long ball forward through the air to Randal Kolo Muani, but the pass doesn't find its target Randal Kolo Muani receives",61,N/A,0.123,0.0111,0.0,0.358,0.0,0.0,0.0
13,3,Spain have responded well to going a goal behind as they pile bodies forward and look threatening on both wings with Yamal and Nico Williams.,general,"[12:19] Aymeric Laporte receives under pressure, drives forward with the ball under pressure, plays a medium pass forward through the air to Marc Cucurella Saseta into the right attacking third Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball - BUT LOSES IT!",63,N/A,0.1195,0.0231,0.0,0.3354,0.0,0.0,0.0
13,4,Spain have responded well to going a goal behind as they pile bodies forward and look threatening on both wings with Yamal and Nico Williams.,general,"[12:05] Marc Cucurella Saseta under pressure, plays a long pass back along the ground to Unai Simón Mendibil Unai Simón Mendibil receives under pressure, carries the ball under pressure, plays a medium pass forward along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives",62,N/A,0.1006,0.0103,0.0,0.2916,0.0,0.0,0.0
18,1,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,"[16:51] William Saliba under pressure, carries the ball under pressure, plays a medium pass along the ground to Mike Maignan Mike Maignan receives under pressure, carries the ball under pressure, plays a long ball forward through the air to Kylian Mbappé Lottin",71,N/A,0.1643,0.0,0.2,0.2928,0.0,0.0,1.0
18,2,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,"[17:24] Aymeric Laporte under pressure, drives forward with the ball under pressure, plays a short pass along the ground to Marc Cucurella Saseta . Ousmane Dembélé closes down Aymeric Laporte . Marc Cucurella Saseta receives under pressure, carries the ball",73,N/A,0.1497,0.0,0.2,0.249,0.0,0.0,1.0
18,3,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,"[17:40] Rodrigo Hernández Cascante under pressure, carries the ball under pressure, plays a short pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias",74,N/A,0.1484,0.0,0.2,0.2453,0.0,0.0,1.0
18,4,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,"[17:49] Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a long ball forward through the air to Marc Cucurella Saseta into the right attacking third Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, plays a dangerous short pass through the air to Nicholas Williams Arthuer into the DANGER ZONE, but the pass doesn't find its target",75,N/A,0.1417,0.0,0.2,0.225,0.0,0.0,1.0
18,5,"France are beginning to find their rhythm... this is the best they have played at Euro 2024, although they have yet to test the gloves of Unai Simon.",general,"[17:06] Jesús Navas González under pressure, plays a medium pass back to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, plays a long pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball from the right defensive third into the right midfield",72,N/A,0.1355,0.0,0.2,0.2064,0.0,0.0,1.0
21,1,GOAL!  SPAIN 1-1 FRANCE (YAMAL),key_event,"[20:02] Aymeric Laporte under pressure, carries the ball from the right midfield into the central midfield From the goal kick, Aymeric Laporte under pressure, plays a short pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball From the goal kick, José Ignacio Fernández Iglesias under pressure, plays a medium pass forward along the ground to Daniel Olmo Carvajal into the central attacking third",85,N/A,0.2443,0.03,0.2625,0.4405,0.0,0.25,1.0
21,2,GOAL!  SPAIN 1-1 FRANCE (YAMAL),key_event,"[19:54] Rodrigo Hernández Cascante under pressure, carries the ball from the central midfield into the right midfield From the goal kick, Rodrigo Hernández Cascante under pressure, plays a medium pass forward along the ground to Marc Cucurella Saseta Marc Cucurella Saseta receives under pressure, carries the ball - BUT LOSES IT! . Ousmane Dembélé closes down Marc Cucurella Saseta",84,N/A,0.2304,0.0182,0.2625,0.4106,0.0,0.25,1.0
21,3,GOAL!  SPAIN 1-1 FRANCE (YAMAL),key_event,"[20:11] Álvaro Borja Morata Martín receives under pressure in the central attacking third . William Saliba clears the danger . Crucial block by Álvaro Borja Morata Martín! Lamine Yamal Nasraoui Ebana wins the ball back under pressure, carries the ball",86,N/A,0.2136,0.024,0.15,0.4667,0.5,0.0,0.0
23,1,GOAL!  Wow... that was special!,key_event,"[22:00] Nicholas Williams Arthuer receives under pressure in the right attacking third under pressure, carries the ball - BUT LOSES IT! . N'Golo Kanté closes down Nicholas Williams Arthuer . Nicholas Williams Arthuer under MASSIVE pressure, plays a short pass along the ground to Álvaro Borja Morata Martín Álvaro Borja Morata Martín receives under pressure in the right attacking third",89,N/A,0.0971,0.0,0.0,0.2913,0.0,0.0,0.0
23,2,GOAL!  Wow... that was special!,key_event,"[22:03] Rodrigo Hernández Cascante under MASSIVE pressure, plays a long pass forward to Lamine Yamal Nasraoui Ebana into the left attacking third Lamine Yamal Nasraoui Ebana receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a dangerous medium pass forward along the ground to Jesús Navas González into the DANGER ZONE . Theo Bernard François Hernández closes down Lamine Yamal Nasraoui Ebana",90,N/A,0.0943,0.0,0.0,0.283,0.0,0.0,0.0
23,3,GOAL!  Wow... that was special!,key_event,"[22:41] Aymeric Laporte receives under pressure in the central attacking third in the duel . Dayotchanculle Upamecano clears the danger . Daniel Olmo Carvajal under pressure, delivers the corner a dangerous short pass along the ground to Fabián Ruiz Peña into the DANGER ZONE Fabián Ruiz Peña receives under pressure in the right attacking third",91,N/A,0.0923,0.0,0.0,0.277,0.0,0.0,0.0
25,1,GOAL!  SPAIN 2-1 FRANCE (OLMO),key_event,"[24:16] Daniel Olmo Carvajal receives under pressure in the central attacking third under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Jesús Navas González into the left attacking third Jesús Navas González receives under pressure in the left attacking third under pressure, carries the ball",99,N/A,0.2104,0.0182,0.15,0.4629,0.5,0.0,0.0
25,2,GOAL!  SPAIN 2-1 FRANCE (OLMO),key_event,"[24:21] Aurélien Djani Tchouaméni closes down Daniel Olmo Carvajal is beaten by Aurélien Djani Tchouaméni! . Daniel Olmo Carvajal takes on the defender under pressure, carries the ball - BUT LOSES IT! . William Saliba closes down Daniel Olmo Carvajal",100,N/A,0.2014,0.0612,0.1,0.4429,0.3333333333333333,0.0,0.0
25,3,GOAL!  SPAIN 2-1 FRANCE (OLMO),key_event,"[23:47] Aymeric Laporte receives under pressure, drives forward with the ball from the right midfield into the right attacking third under pressure, plays a short pass forward along the ground to Daniel Olmo Carvajal, but the pass doesn't find its target Daniel Olmo Carvajal receives under pressure in the right attacking third . Jules Koundé intercepts!",97,N/A,0.1832,0.0399,0.075,0.4346,0.25,0.0,0.0
25,4,GOAL!  SPAIN 2-1 FRANCE (OLMO),key_event,"[24:03] Fabián Ruiz Peña under pressure, carries the ball from the right attacking third into the right midfield under pressure, plays a medium pass back along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball - BUT LOSES IT! . Randal Kolo Muani closes down José Ignacio Fernández Iglesias",98,N/A,0.1142,0.0,0.0,0.3425,0.0,0.0,0.0
27,1,GOAL!,key_event,"[26:21] From the goal kick, Unai Simón Mendibil under pressure, plays a short pass along the ground to Aymeric Laporte Aymeric Laporte receives From the goal kick, Aymeric Laporte under pressure, plays a long ball forward through the air to Jesús Navas González, but it goes out of play Jesús Navas González receives",103,N/A,0.2391,0.1475,0.2625,0.3072,0.0,0.25,1.0
27,2,GOAL!,key_event,"[25:54] Ousmane Dembélé wins the ball back surges forward on a BRILLIANT run - BUT LOSES IT! . Marc Cucurella Saseta closes down Ousmane Dembélé . Ousmane Dembélé under MASSIVE pressure, plays a dangerous short pass along the ground to Randal Kolo Muani into the central attacking third, but it goes out of play Randal Kolo Muani receives under pressure in the central attacking third",102,N/A,0.0814,0.0,0.0,0.2442,0.0,0.0,0.0
27,3,GOAL!,key_event,"[26:37] Theo Bernard François Hernández under pressure, plays a medium pass back to William Saliba William Saliba receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Aurélien Djani Tchouaméni Aurélien Djani Tchouaméni receives",104,N/A,0.075,0.0,0.0,0.225,0.0,0.0,0.0
31,1,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:18] Daniel Olmo Carvajal under pressure, carries the ball From the goal kick, Daniel Olmo Carvajal under pressure, plays a long pass forward along the ground to Marc Cucurella Saseta Marc Cucurella Saseta receives under pressure, drives forward with the ball from the right midfield into the right attacking third From the goal kick, Marc Cucurella Saseta under pressure, plays a short pass back along the ground to Daniel Olmo Carvajal",117,N/A,0.301,0.0473,0.325,0.5307,0.25,0.2,1.0
31,2,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:31] Fabián Ruiz Peña under pressure, carries the ball From the goal kick, Fabián Ruiz Peña under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives under pressure, carries the ball From the goal kick, Daniel Olmo Carvajal under pressure, plays a medium pass back along the ground to Aymeric Laporte",118,N/A,0.2934,0.0491,0.31,0.5212,0.2,0.2,1.0
31,3,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:45] From the goal kick, Nicholas Williams Arthuer under MASSIVE pressure, plays a short pass along the ground to Daniel Olmo Carvajal, but the pass doesn't find its target Daniel Olmo Carvajal receives under pressure in the right attacking third . Crucial block by Aurélien Djani Tchouaméni! . Nicholas Williams Arthuer wins the ball back surges forward on a BRILLIANT run from the right attacking third into the central attacking third - BUT LOSES IT!",120,N/A,0.2835,0.0396,0.3167,0.4941,0.25,0.16666666666666666,1.0
31,4,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:42] From the goal kick, Fabián Ruiz Peña under pressure, plays a short pass along the ground to Nicholas Williams Arthuer into the right attacking third Nicholas Williams Arthuer receives under pressure in the right attacking third under pressure, carries the ball From the goal kick, Nicholas Williams Arthuer under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives",119,N/A,0.2474,0.025,0.25,0.4671,0.0,0.2,1.0
31,5,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:06] Kylian Mbappé Lottin takes on the defender . José Ignacio Fernández Iglesias in the duel From the goal kick, Rodrigo Hernández Cascante under pressure, plays a medium pass forward along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",116,N/A,0.2356,0.0296,0.25,0.4272,0.0,0.2,1.0
31,6,"UEFA state, at the moment, that Spain's second goal is in fact an own goal scored by France defender Jules Kounde, but that will surely change as Olmo's strike looked on target.",general,"[30:51] Aurélien Djani Tchouaméni closes down Nicholas Williams Arthuer . Álvaro Borja Morata Martín receives under pressure in the central attacking third under pressure, carries the ball is dispossessed by Aurélien Djani Tchouaméni!",121,N/A,0.095,0.0,0.0,0.2851,0.0,0.0,0.0
