match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_germany,54,0,54,"CHANCE!  Germany nearly hit back right away as Olmo's deflected cross drops into the corridor of uncertainty, but Nacho is well-positioned to momentarily clear the danger.",key_event,Chance,"Olmo, Nacho",Germany,169
spain_germany,55,0,55,"Hard to keep up now! Germany come again, but Rodri puts a foot in before the ball can drop for Gundogan to get a volley away.",general,General,"Rodri, Gundogan",Germany,131
spain_germany,57,0,57,"It has been like a basketball match since that Olmo opener. Great for the neutrals, not so much for the live bloggers... No complaining, though. Gripping stuff.",general,General,Olmo,Both,159
spain_germany,57,0,57,YELLOW CARD!  And that's another one out of the semi-finals. Andrich booked.,key_event,Yellow Card,Andrich,Germany,77
spain_germany,57,0,57,GERMANY SUBS Gundogan and Raum come off for Mittelstadt and Niclas Fullkrug. Germany going for it.,key_event,Substitution,"Gundogan, Raum, Mittelstadt, Fullkrug",Germany,103
spain_germany,60,0,60,"In fact, Yamal is now the first male teenager on record to set up three goals at a single World Cup or the Euros. How he would love a goal, though.",general,General,Yamal,Spain,154
spain_germany,61,0,61,"Germany have a corner after a Wirtz shot hits Cucurella's back and goes behind, but it comes to nothing; the Bayer Leverkusen man's cross misses everyone.",general,Corner,"Wirtz, Cucurella",Germany,157
spain_germany,63,0,63,"SPAIN SUB Nations League hat-trick hero Torres is on for Yamal, who is far from happy about coming off.",key_event,Substitution,"Torres, Yamal",Spain,113
spain_germany,64,0,64,"SHOT!  The latest Kroos corner finds a leaping Fullkrug, but his backwards header sails harmlessly behind. Germany upping the ante though.",key_event,Shot,"Kroos, Fullkrug",Germany,145
spain_germany,65,0,65,Another Germany attack breaks down as Musiala is crowded out and clips Morata on his way down.,general,General,"Musiala, Morata",Germany,97
spain_germany,67,0,67,"Carvajal, take a bow. Havertz and Fullkrug are two-on-two and the former sets away his Borussia Dortmund colleague, but Carvajal gets back to nip in and see the ball back to Simon.",general,General,"Carvajal, Havertz, Fullkrug, Simon",Germany,178
spain_germany,68,0,68,"YELLOW CARD!  It's happened! Kroos is finally in the book for bringing down Torres. As things stand, that will be the final yellow card of his career.",key_event,Yellow Card,"Kroos, Torres",Germany,149
spain_germany,70,0,70,"SHOT!  Germany are patient in their build-up and work the ball through to Andrich, whose low first-time strike is beaten out to his left by Simon, before Germany appeals for a handball fall on deaf ears.",key_event,Shot,"Andrich, Simon",Germany,202
spain_germany,72,0,72,SHOT!  The hosts keep on coming and Havertz tries his luck from inside the box, but a Spain body gets in the way.,key_event,Shot,Havertz,Germany,115
spain_germany,73,0,73,It was Carvajal who got his body in the way there. He's been solid tonight.,general,General,Carvajal,Spain,76
spain_germany,73,0,73,"YELLOW CARD!  The suspensions are racking up! Mittelstadt fouls Torres, goes into the book and cannot believe his misfortune. That's all three Germans who could have been banned for the semis banned for the semis.",key_event,Yellow Card,"Mittelstadt, Torres",Germany,209
spain_germany,74,0,74,"YELLOW CARD!  Torres's delivery to the back post is an awkward one, but Spain survive. The Barcelona man is then booked for stopping Musiala bursting away.",key_event,Yellow Card,"Torres, Musiala",Spain,160
spain_germany,77,0,77,"OFF THE POST!  INCHES AWAY FOR THE GERMANS! Wirtz's delivery finds Fullkrug, who is on the way down but still hooks his right foot around the ball, which strikes Simon's near post.",key_event,Hit Post,"Wirtz, Fullkrug, Simon",Germany,186
spain_germany,78,0,78,"Fullkrug was engaged in a titanic tussle with Nacho, and the ex-Real Madrid man just about came out on top. Simon was completely beaten, though.",general,General,"Fullkrug, Nacho, Simon",Germany,145
spain_germany,80,0,80,"SPAIN SUBS Fresh legs time. Morata and Williams off, Real Sociedad teammates Mikel Merino and Mikel Oyarzabal on.",key_event,Substitution,"Morata, Williams, Merino, Oyarzabal",Spain,119
spain_germany,80,0,80,"GERMANY SUB Oh here we go! Jonathan Tah is off for Germany, and Thomas Muller is brought on to a terrific reception.",key_event,Substitution,"Tah, Muller",Germany,124
spain_germany,81,0,81,"Fabian Ruiz's exquisite piece of skill sets him away, but the newly-introduced Oyarzabal is crowded out before he can pull the trigger.",general,General,"Fabian Ruiz, Oyarzabal",Spain,137
spain_germany,82,0,82,YELLOW CARD!  The gamesmanship begins; Spain goalkeeper Simon is cautioned for time-wasting.,key_event,Yellow Card,Simon,Spain,96
spain_germany,83,0,83,"CLOSE!  OH KAI HAVERTZ! Simon's goal kick - after all that malarkey - is extremely poor, and Havertz nips in. The Arsenal man goes for the lob with Simon off his line, but his effort loops just over the top. Spanish sighs of relief all around.",key_event,Close Call,"Havertz, Simon",Germany,235
spain_germany,84,0,84,SHOT!  The space opens up for Fabian Ruiz to hit one from 20 yards but his effort is wild.,key_event,Shot,Fabian Ruiz,Spain,94
spain_germany,85,0,85,Germany free kick about 35 yards from goal as Nacho shoves Fullkrug over...,general,Free Kick,"Nacho, Fullkrug",Germany,80
spain_germany,86,0,86,"SAVE!  Kroos's delivery is perfectly-placed for Havertz, whose header into the ground is brilliantly saved by Simon, but the Arsenal attacker had fouled Laporte anyway.",key_event,Save,"Kroos, Havertz, Simon, Laporte",Germany,167
spain_germany,87,0,87,Another Germany corner as Carvajal heads a Havertz delivery behind...,general,Corner,"Carvajal, Havertz",Germany,68
spain_germany,88,0,88,"Kroos plays it short to Kimmich and the ball is eventually worked out to Mittelstadt, whose 25-yarder hits Merino. Waste.",general,General,"Kroos, Kimmich, Mittelstadt, Merino",Germany,125
spain_germany,89,0,89,"GOAL!  Never count the Germans out! A Mittelstadt cross to the back post is nodded back into the danger area by Kimmich, and Wirtz sends a crisp half-volley into the ground, off the post and into the net. Nagelsmann's men are still alive!",key_event,Goal,"Mittelstadt, Kimmich, Wirtz",Germany,237
spain_germany,89,0,89,GOAL!  SPAIN 1-1 GERMANY (WIRTZ),key_event,Goal,Wirtz,Germany,35
spain_germany,90,0,90,Four minutes for either side to find a winner.,general,General,,Both,50
spain_germany,90,2,90+2,"Spain are huffing and puffing right at the death, but surely extra time is looming.",general,General,,Spain,88
spain_germany,90,4,90+4,YELLOW CARD!  Apparently Germany sub Nico Schlotterbeck has just been booked.,key_event,Yellow Card,Schlotterbeck,Germany,74
spain_germany,90,4,90+4,FULL TIME:  SPAIN 1-1 GERMANY Extra time it is!,key_event,Full Time,,Both,54
spain_germany,91,0,ET 1,"KICKOFF:  Here we go again! Spain restart. Change for Germany by the way, Havertz makes way for centre-back Waldemar Anton.",key_event,Kick Off + Substitution,"Havertz, Anton",Spain,133
spain_germany,92,0,ET 2,Nacho has to get across to prevent Wirtz's cross from reaching Muller. Germany corner.,general,Corner,"Nacho, Wirtz, Muller",Germany,87
spain_germany,93,0,ET 3,Kroos's delivery is claimed confidently by Simon.,general,Corner,"Kroos, Simon",Germany,50
spain_germany,94,0,ET 4,YELLOW CARD!  Wirtz and Cucurella tangle off the ball and the Germany man is booked for his part in the incident.,key_event,Yellow Card,"Wirtz, Cucurella",Germany,113
spain_germany,95,0,ET 5,"Olmo's low ball into the box is intended for Oyarzabal, but it misses everyone and goes behind for a goal kick.",general,General,"Olmo, Oyarzabal",Spain,114
spain_germany,97,0,ET 7,"SHOT!  Spain back on top now as Olmo tries his luck, but Rudiger and Kimmich get in the way.",key_event,Shot,"Olmo, Rudiger, Kimmich",Spain,97
spain_germany,98,0,ET 8,Play is stopped as both Ruiz and Kroos feel the effects of a collision.,general,General,"Ruiz, Kroos",Both,75
spain_germany,99,0,ET 9,Both are fine but probably grateful for the slight delay.,general,General,,Both,57
spain_germany,100,0,ET 10,YELLOW CARD!  Anthony Taylor's pen might be running out of ink. Carvajal pulls back Musiala and - despite his protestations - is the next into the book.,key_event,Yellow Card,"Carvajal, Musiala",Spain,150
spain_germany,101,0,ET 11,"CHANCE!  From the resulting free kick, Germany work the ball down the left, but Simon's fists cut out Musiala's delivery. The hosts keep the ball alive, but Andrich's volley is wild.",key_event,Chance,"Simon, Musiala, Andrich",Germany,176
spain_germany,102,0,ET 12,SPAIN SUB Fabian Ruiz's race is run. Joselu - born in Stuttgart - comes on.,key_event,Substitution,"Fabian Ruiz, Joselu",Spain,79
spain_germany,104,0,ET 14,"CLOSE!  Not too far away from Oyarzabal! The Sociedad man has Neuer beaten with a brilliant left-footed drive from range, but it flies just wide of the far post.",key_event,Close Call,"Oyarzabal, Neuer",Spain,165
spain_germany,105,0,ET 15,One more minute to be played.,general,General,,Both,30
spain_germany,105,1,ET 15+1,"CLOSE!  Wirtz so nearly repeats his trick as he goes firs time from Muller's cutback, and it may have just grazed the post on its way behind.",key_event,Close Call,"Wirtz, Muller",Germany,141
spain_germany,105,1,ET 15+1,HALF TIME IN EXTRA TIME:  SPAIN 1-1 GERMANY,key_event,Half Time Extra Time,,Both,46
spain_germany,106,0,ET 16,"KICKOFF:  Or 23 if you count Anthony Taylor. Anyway, we've started again.",key_event,Kick Off,,Both,82
spain_germany,106,0,ET 16,"Germany are up in arms as Musiala's strike is blocked by the hand of Cucurella, but his arm was down by his side. No penalty.",general,Penalty Appeal,"Musiala, Cucurella",Germany,129
spain_germany,108,0,ET 18,"Olmo skips away from Andrich and feeds Merino, whose cross is turned behind by the rock Rudiger for a Spain corner.",general,Corner,"Olmo, Andrich, Merino, Rudiger",Spain,121
spain_germany,109,0,ET 19,"SHOT!  It comes to nothing and Germany charge down the other end through Wirtz, who lays off Fullkrug, but he's off balance and skews his effort wide.",key_event,Shot,"Wirtz, Fullkrug",Germany,155
spain_germany,110,0,ET 20,"YELLOW CARD!  Rodri now in the book for trying to rip Muller's shirt from his body. Maybe a bit exaggerated, but you get the idea.",key_event,Yellow Card,"Rodri, Muller",Spain,133
spain_germany,111,0,ET 21,Cucurella writhing in apparent agony after a Kimmich barge. The German man is totally unfazed.,general,General,"Cucurella, Kimmich",Spain,100
spain_germany,112,0,ET 22,"SHOT!  Oyarzabal curls a delicate 20-yard shot wide but Kroos had already gone down for a free kick.",key_event,Shot,"Oyarzabal, Kroos",Spain,100
spain_germany,114,0,ET 24,Kroos is still down receiving treatment - might Germany have to see this one out with 10 men?,general,General,Kroos,Germany,94
spain_germany,114,0,ET 24,"YELLOW CARD!  Kroos is back on and Deniz Undav has been booked on the bench, presumably for dissent.",key_event,Yellow Card,"Kroos, Undav",Germany,102
spain_germany,116,0,ET 26,"This has been a forgettable extra-time period. Nacho now rolling around on the turf - not sure why.",general,General,Nacho,Spain,104
spain_germany,117,0,ET 27,"Oh dear. A very innocuous nudge from Wirtz sparked that reaction from Nacho. Surprise surprise, he's fine.",general,General,"Wirtz, Nacho",Spain,109
spain_germany,117,0,ET 27,"SAVE!  Terrific save from Simon! Fullkrug bravely dives across Nacho's body for a diving header, but Simon springs to his right to deny the Dortmund man what would surely have been the winner.",key_event,Save,"Simon, Fullkrug, Nacho",Germany,192
spain_germany,119,0,ET 29,Counting down to the lottery of penalties now.,general,General,,Both,49
spain_germany,119,0,ET 29,GOAL!  SPAIN 2-1 GERMANY (MERINO) WHAT WAS THAT ABOUT PENALTIES?!,key_event,Goal,Merino,Spain,70
spain_germany,119,0,ET 29,"GOAL!  Mikel Merino - the most unlikely hero - has surely just scored the goal that will send Germany out of the European Championships! The Sociedad midfielder is free to meet Olmo's cross, which he does with a majestic leap, and his header leaves Neuer rooted to the spot.",key_event,Goal,"Merino, Olmo, Neuer",Spain,265
spain_germany,120,2,ET 30+2,"Germany have been given three minutes of injury time in extra time to conjure up another magic moment. Two have already been played. Spain defending for their lives.",general,General,,Germany,158
spain_germany,120,2,ET 30+2,SHOT!  Torres is through but goes for the delicate dink over Neuer, which is horribly executed.,key_event,Shot,"Torres, Neuer",Spain,102
spain_germany,120,3,ET 30+3,"CLOSE!  And that might be that! Germany are patient, and a cross finds the head of Fullkrug - the man you want in that situation - but he heads wide!",key_event,Close Call,Fullkrug,Germany,154
spain_germany,120,6,ET 30+6,One last free kick for a depleted Spain to defend...,general,Free Kick,,Spain,55
spain_germany,120,6,ET 30+6,"RED CARD!  Spain will finish with 10 as Carvajal is sent off for a second bookable offence, taking one for the team by hauling down Musiala.",key_event,Red Card,"Carvajal, Musiala",Spain,141
spain_germany,120,6,ET 30+6,FULL TIME:  SPAIN 2-1 GERMANY (A.E.T),key_event,Full Time,,Spain,40

