minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
2,7,"... England immediately look down the right, with Pickford delivering long towards Saka, but it goes behind for a Spain goal kick. The atmosphere inside the stadium really is sensational.",general,"[1:31] Lamine Yamal Nasraoui Ebana receives under pressure in the left attacking third under pressure, carries the ball is dispossessed by Luke Shaw!",8,N/A,0.0869,0.0,0.0,0.2608,0.0,0.0,0.0
3,1,"Shaw wins his first battle against Yamal, knocking the Barcelona teenager to the ground in the process, but you can be sure that the 17-year-old will come back time and time again.",general,"[1:53] Jude Bellingham in the duel . Daniel Carvajal Ramos under pressure, plays a medium pass forward through the air to Álvaro Borja Morata Martín Álvaro Borja Morata Martín receives under pressure, plays a short pass forward through the air to Lamine Yamal Nasraoui Ebana, but the pass doesn't find its target Lamine Yamal Nasraoui Ebana closes down the ball carrier",12,N/A,0.2201,0.0175,0.26,0.3829,0.2,0.0,1.0
3,2,"Shaw wins his first battle against Yamal, knocking the Barcelona teenager to the ground in the process, but you can be sure that the 17-year-old will come back time and time again.",general,"[2:29] Daniel Carvajal Ramos receives under pressure, carries the ball under pressure, plays a short pass back along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, carries the ball",14,N/A,0.1271,0.0094,0.2,0.172,0.0,0.0,1.0
3,3,"Shaw wins his first battle against Yamal, knocking the Barcelona teenager to the ground in the process, but you can be sure that the 17-year-old will come back time and time again.",general,"[2:19] Robin Aime Robert Le Normand wins the ball back under pressure, carries the ball - BUT LOSES IT! . Jude Bellingham closes down Robin Aime Robert Le Normand . Robin Aime Robert Le Normand under MASSIVE pressure, plays a long pass back along the ground to Unai Simón Mendibil Unai Simón Mendibil receives",13,N/A,0.1231,0.0151,0.2,0.1543,0.0,0.0,1.0
3,4,"Shaw wins his first battle against Yamal, knocking the Barcelona teenager to the ground in the process, but you can be sure that the 17-year-old will come back time and time again.",general,"[2:40] Robin Aime Robert Le Normand under pressure, drives forward with the ball - BUT LOSES IT! . Harry Kane closes down Robin Aime Robert Le Normand . Robin Aime Robert Le Normand under pressure, plays a medium pass back along the ground to Unai Simón Mendibil Unai Simón Mendibil receives under pressure, carries the ball from the left defensive third into the central defensive third",15,N/A,0.1203,0.0071,0.2,0.1537,0.0,0.0,1.0
5,1,"Spain are looking to control the possession early on here, which is not a surprise. England are dropping into their shape, though, and look relatively comfortable in there. Shaw again wins his battle against Yamal, which will give England plenty of confidence early here.",general,"[4:18] John Stones clears the danger . Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Daniel Carvajal Ramos into the central attacking third, but the pass doesn't find its target Daniel Carvajal Ramos receives under pressure in the central attacking third in the duel . Jude Bellingham clears the danger",25,N/A,0.1852,0.0,0.2,0.3557,0.0,0.0,1.0
5,2,"Spain are looking to control the possession early on here, which is not a surprise. England are dropping into their shape, though, and look relatively comfortable in there. Shaw again wins his battle against Yamal, which will give England plenty of confidence early here.",general,"[4:05] Álvaro Borja Morata Martín under pressure, plays a short pass along the ground to Daniel Olmo Carvajal into the left attacking third Daniel Olmo Carvajal receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a long ball forward through the air to Álvaro Borja Morata Martín into the central attacking third, but the pass doesn't find its target Álvaro Borja Morata Martín receives under pressure in the central attacking third",24,N/A,0.1715,0.0,0.2,0.3145,0.0,0.0,1.0
5,3,"Spain are looking to control the possession early on here, which is not a surprise. England are dropping into their shape, though, and look relatively comfortable in there. Shaw again wins his battle against Yamal, which will give England plenty of confidence early here.",general,"[3:53] Marc Cucurella Saseta receives under pressure, carries the ball under pressure, plays a short pass back along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball",23,N/A,0.1365,0.0,0.2,0.2096,0.0,0.0,1.0
7,1,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[6:19] Aymeric Laporte under pressure, plays a short pass along the ground to Marc Cucurella Saseta Marc Cucurella Saseta receives under pressure, carries the ball under pressure, plays a short pass forward along the ground to Nicholas Williams Arthuer into the right attacking third Nicholas Williams Arthuer receives under pressure in the right attacking third",35,N/A,0.1674,0.0496,0.0833,0.3693,0.0,0.3333333333333333,0.0
7,2,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[6:37] Robin Aime Robert Le Normand receives under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos into the left attacking third Daniel Carvajal Ramos receives under pressure in the left attacking third under pressure, plays a short pass along the ground to Lamine Yamal Nasraoui Ebana",37,N/A,0.1668,0.0519,0.0833,0.3652,0.0,0.3333333333333333,0.0
7,3,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[5:57] Robin Aime Robert Le Normand under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos into the left attacking third Daniel Carvajal Ramos receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives",33,N/A,0.163,0.0396,0.0833,0.3662,0.0,0.3333333333333333,0.0
7,4,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[6:28] Marc Cucurella Saseta under pressure, plays a medium pass back along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives",36,N/A,0.1604,0.053,0.0833,0.3449,0.0,0.3333333333333333,0.0
7,5,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[6:45] Robin Aime Robert Le Normand under pressure, plays a medium pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives",38,N/A,0.1553,0.0445,0.0833,0.3381,0.0,0.3333333333333333,0.0
7,6,"Pass, pass, pass from Spain, who have been the better outfit in the first seven minutes. England, though, are not overly concerned at this moment in time. Cagey start here.",general,"[6:05] Robin Aime Robert Le Normand under pressure, carries the ball - BUT LOSES IT! . Phil Foden closes down Robin Aime Robert Le Normand . Robin Aime Robert Le Normand under MASSIVE pressure, plays a short pass along the ground to Daniel Carvajal Ramos Daniel Carvajal Ramos receives under pressure, plays a medium pass back along the ground to Rodrigo Hernández Cascante",34,N/A,0.1458,0.0417,0.0833,0.3123,0.0,0.3333333333333333,0.0
9,1,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,"[8:10] Fabián Ruiz Peña under pressure, plays a long ball back through the air to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Daniel Carvajal Ramos Daniel Carvajal Ramos receives",48,N/A,0.2073,0.0074,0.3,0.3145,0.3333333333333333,0.0,1.0
9,2,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,"[8:22] Aymeric Laporte receives under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",49,N/A,0.2014,0.019,0.3,0.2852,0.3333333333333333,0.0,1.0
9,3,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,"[7:52] Declan Rice closes down Daniel Olmo Carvajal . Daniel Olmo Carvajal under MASSIVE pressure, plays a medium pass along the ground to Daniel Carvajal Ramos Daniel Carvajal Ramos receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Fabián Ruiz Peña",45,N/A,0.1851,0.007,0.26,0.2883,0.2,0.0,1.0
9,4,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,[8:02] Daniel Olmo Carvajal receives under pressure in the central attacking third,46,N/A,0.1675,0.0,0.2,0.3025,0.0,0.0,1.0
9,5,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,"[8:29] Declan Rice wins the ball back under pressure, carries the ball - BUT LOSES IT! . Daniel Olmo Carvajal closes down Declan Rice . Declan Rice under MASSIVE pressure, plays a short pass along the ground to Harry Kane, but the pass doesn't find its target Harry Kane receives",50,N/A,0.1474,0.0,0.2,0.2423,0.0,0.0,1.0
9,6,"England have not yet managed to break clear, but the opportunity will be there at some stage, as Spain are pushing really high. No doubt that La Roja have started the better here, with Williams looking dangerous down the left. Ruiz has also been impressive in midfield.",general,"[8:02] John Stones under pressure, plays a short pass forward along the ground to Bukayo Saka Bukayo Saka receives under pressure, carries the ball - BUT LOSES IT! . Marc Cucurella Saseta closes down Bukayo Saka . Bukayo Saka under MASSIVE pressure, plays a short pass along the ground to Kobbie Mainoo",47,N/A,0.1374,0.0,0.2,0.2123,0.0,0.0,1.0
11,1,"England deliver a deep free kick into the Spain box, but Guehi pushes Rodri to the ground, and Spain are able to gather control of the ball once again here.",general,"[10:30] Aymeric Laporte under pressure, delivers the free kick a medium pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives under pressure, delivers the free kick a medium pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball",54,N/A,0.2874,0.0764,0.2625,0.5233,0.0,0.25,1.0
11,2,"England deliver a deep free kick into the Spain box, but Guehi pushes Rodri to the ground, and Spain are able to gather control of the ball once again here.",general,"[9:25] Daniel Carvajal Ramos under pressure, plays a medium pass forward, INTERCEPTED! Spain loses the ball . Declan Rice under pressure, plays a short pass to Jude Bellingham . Rodrigo Hernández Cascante closes down Declan Rice . Jude Bellingham receives under pressure, carries the ball - BUT LOSES IT!",53,N/A,0.2835,0.0419,0.26,0.5487,0.2,0.0,1.0
11,3,"England deliver a deep free kick into the Spain box, but Guehi pushes Rodri to the ground, and Spain are able to gather control of the ball once again here.",general,"[10:43] Unai Simón Mendibil under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Unai Simón Mendibil",55,N/A,0.2822,0.0877,0.2625,0.4963,0.0,0.25,1.0
13,1,"CLOSE!  Some concern over Walker here, who stays down after a challenge, but he should be able to continue. Le Normand then hooks one behind from a corner, with Spain having a half-chance.",key_event,"[12:18] Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Rodrigo Hernández Cascante into the central attacking third Rodrigo Hernández Cascante receives under pressure in the central attacking third . Kobbie Mainoo in the duel . Rodrigo Hernández Cascante under pressure, delivers the corner a dangerous short pass through the air to Robin Aime Robert Le Normand into the DANGER ZONE . Declan Rice closes down Rodrigo Hernández Cascante",58,N/A,0.1963,0.0365,0.15,0.4025,0.0,0.0,0.0
15,1,"Trippier is warming up here amid the concerns over Walker, but it does appear that the Manchester City defender will be able to continue. Still all square in the final.",general,"[13:53] Kobbie Mainoo under pressure, plays a short pass through the air to Phil Foden Phil Foden receives under pressure, plays a medium pass to Jude Bellingham Jude Bellingham receives surges forward on a BRILLIANT run from the right defensive third into the right midfield - BUT LOSES IT!",63,N/A,0.0991,0.0,0.0,0.2973,0.0,0.0,0.0
15,2,"Trippier is warming up here amid the concerns over Walker, but it does appear that the Manchester City defender will be able to continue. Still all square in the final.",general,"[14:30] Luke Shaw under pressure, plays a short pass to Phil Foden . Daniel Olmo Carvajal closes down Luke Shaw . Phil Foden receives under pressure, carries the ball - BUT LOSES IT! . Rodrigo Hernández Cascante closes down Phil Foden",64,N/A,0.08,0.0,0.0,0.2401,0.0,0.0,0.0
16,1,"Walker breaks into a dangerous position for England, and his low cross is cleared behind by Laporte. Much better for England, who have their first corner of the match... ... Rodri does really well to clear the danger.",general,"[15:19] Álvaro Borja Morata Martín clears the danger . Declan Rice wins the ball back under pressure, carries the ball under pressure, delivers the corner a medium pass back along the ground to Kyle Walker Kyle Walker receives",66,N/A,0.3221,0.048,0.4517,0.4665,0.2,0.16666666666666666,1.0
16,2,"Walker breaks into a dangerous position for England, and his low cross is cleared behind by Laporte. Much better for England, who have their first corner of the match... ... Rodri does really well to clear the danger.",general,"[14:36] Jude Bellingham under pressure, plays a long pass forward along the ground to Bukayo Saka into the central attacking third Bukayo Saka receives under pressure in the central attacking third under pressure, carries the ball from the central attacking third into the left attacking third under pressure, plays a dangerous medium pass forward along the ground to Kyle Walker into the DANGER ZONE Kyle Walker receives under pressure in the left attacking third",65,N/A,0.2296,0.0274,0.26,0.4013,0.2,0.0,1.0
16,3,"Walker breaks into a dangerous position for England, and his low cross is cleared behind by Laporte. Much better for England, who have their first corner of the match... ... Rodri does really well to clear the danger.",general,"[15:47] Phil Foden under pressure, carries the ball - BUT LOSES IT! . Fabián Ruiz Peña closes down Phil Foden Nicholas Williams Arthuer closes down the ball carrier . Phil Foden under MASSIVE pressure, delivers the corner a short pass along the ground to Kobbie Mainoo Kobbie Mainoo receives",68,N/A,0.2117,0.01,0.35,0.2752,0.0,0.0,1.0
16,4,"Walker breaks into a dangerous position for England, and his low cross is cleared behind by Laporte. Much better for England, who have their first corner of the match... ... Rodri does really well to clear the danger.",general,"[15:36] Marc Guehi receives under pressure, carries the ball from the right midfield into the central defensive third under pressure, delivers the corner a short pass along the ground to Declan Rice Declan Rice receives under pressure, carries the ball",67,N/A,0.1942,0.0103,0.35,0.2224,0.0,0.0,1.0
18,1,"Rodri again does brilliantly to block a strike from Rice, before Cucurella clears at the far post. England are suddenly turning up the heat here, with Foden also involved.",general,"[17:25] Marc Cucurella Saseta under pressure, plays a short pass along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball under pressure, plays a long pass along the ground to Robin Aime Robert Le Normand Robin Aime Robert Le Normand receives",78,N/A,0.1513,0.0092,0.06,0.3848,0.2,0.0,0.0
18,2,"Rodri again does brilliantly to block a strike from Rice, before Cucurella clears at the far post. England are suddenly turning up the heat here, with Foden also involved.",general,"[16:55] Aymeric Laporte under MASSIVE pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives under pressure, drives forward with the ball from the central defensive third into the left defensive third under pressure, plays a medium pass along the ground to Lamine Yamal Nasraoui Ebana Lamine Yamal Nasraoui Ebana receives",76,N/A,0.1151,0.0,0.0,0.3452,0.0,0.0,0.0
18,3,"Rodri again does brilliantly to block a strike from Rice, before Cucurella clears at the far post. England are suddenly turning up the heat here, with Foden also involved.",general,"[17:16] Fabián Ruiz Peña receives under pressure, plays a medium pass back to Unai Simón Mendibil Unai Simón Mendibil receives under pressure, carries the ball under pressure, plays a short pass forward along the ground to Aymeric Laporte",77,N/A,0.1108,0.0,0.0,0.3324,0.0,0.0,0.0
18,4,"Rodri again does brilliantly to block a strike from Rice, before Cucurella clears at the far post. England are suddenly turning up the heat here, with Foden also involved.",general,"[17:44] Unai Simón Mendibil receives under pressure, carries the ball under pressure, plays a short pass forward along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball from the right defensive third into the right midfield",79,N/A,0.0917,0.0,0.0,0.275,0.0,0.0,0.0
19,1,Shaw again wins a personal battle with Yamal. He's been brilliant.,general,"[18:21] Fabián Ruiz Peña under pressure, carries the ball - BUT LOSES IT! . Kobbie Mainoo closes down Fabián Ruiz Peña . Fabián Ruiz Peña under MASSIVE pressure, plays a medium pass back along the ground to Aymeric Laporte Aymeric Laporte receives under pressure, carries the ball from the right midfield into the right defensive third",81,N/A,0.1425,0.0,0.2,0.2274,0.0,0.0,1.0
19,2,Shaw again wins a personal battle with Yamal. He's been brilliant.,general,"[18:36] Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a short pass forward along the ground to Marc Cucurella Saseta into the right attacking third Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives",82,N/A,0.129,0.0,0.2,0.1871,0.0,0.0,1.0
19,3,Shaw again wins a personal battle with Yamal. He's been brilliant.,general,"[17:56] Aymeric Laporte under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives under pressure, carries the ball from the right midfield into the right attacking third under pressure, plays a medium pass along the ground to Álvaro Borja Morata Martín into the central attacking third, but the pass doesn't find its target",80,N/A,0.1214,0.0,0.2,0.1642,0.0,0.0,1.0
19,4,Shaw again wins a personal battle with Yamal. He's been brilliant.,general,"[18:47] Daniel Carvajal Ramos receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a long ball forward through the air into the central attacking third, INTERCEPTED! Spain loses the ball",83,N/A,0.1075,0.0,0.2,0.1225,0.0,0.0,1.0
20,1,"Much more of an even game at the moment, with England relatively comfortable in their shape, while Spain have been forced to make some clearances over the last few minutes. Shaw has been England's standout player thus far, while Rodri has been excellent for Spain.",general,"[19:20] Daniel Carvajal Ramos under pressure, plays a short pass to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, drives forward with the ball - BUT LOSES IT! . Jude Bellingham closes down Fabián Ruiz Peña . Fabián Ruiz Peña under pressure, plays a short pass , INTERCEPTED! Spain loses the ball",86,N/A,0.1502,0.013,0.0,0.4376,0.0,0.0,0.0
20,2,"Much more of an even game at the moment, with England relatively comfortable in their shape, while Spain have been forced to make some clearances over the last few minutes. Shaw has been England's standout player thus far, while Rodri has been excellent for Spain.",general,[19:15] Luke Shaw receives,85,N/A,0.1297,0.0312,0.1,0.2578,0.3333333333333333,0.0,0.0
20,3,"Much more of an even game at the moment, with England relatively comfortable in their shape, while Spain have been forced to make some clearances over the last few minutes. Shaw has been England's standout player thus far, while Rodri has been excellent for Spain.",general,"[19:34] Nicholas Williams Arthuer under pressure, drives forward with the ball under pressure, plays a dangerous short pass back along the ground to Marc Cucurella Saseta into the DANGER ZONE Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",88,N/A,0.1051,0.0,0.06,0.2552,0.2,0.0,0.0
20,4,"Much more of an even game at the moment, with England relatively comfortable in their shape, while Spain have been forced to make some clearances over the last few minutes. Shaw has been England's standout player thus far, while Rodri has been excellent for Spain.",general,"[18:50] The goalkeeper deals with it under pressure, carries the ball under pressure, plays a medium pass along the ground to Marc Guehi Marc Guehi receives under pressure, carries the ball",84,N/A,0.0802,0.0,0.0,0.2406,0.0,0.0,0.0
20,5,"Much more of an even game at the moment, with England relatively comfortable in their shape, while Spain have been forced to make some clearances over the last few minutes. Shaw has been England's standout player thus far, while Rodri has been excellent for Spain.",general,"[19:29] Declan Rice closes down Daniel Olmo Carvajal ⚠ FOUL by Declan Rice in the central midfield . Daniel Olmo Carvajal is fouled under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña",87,N/A,0.0766,0.0,0.0,0.2297,0.0,0.0,0.0
22,1,"Some thoughts from Senior Reporter Ben Knapton... ""Unlike the semi-final, this has been a much more tentative start from the Three Lions, who have conceded the lion's share of possession to Spain, albeit while defending resolutely - John Stones and Declan Rice have done their bits to snuff out attacks. While Nico Williams is looking lively on the left, Lamine Yamal is yet to get the better of Luke Shaw, making his first England start in over 12 months. Southgate's risky call is paying off so far, but this one is still waiting to explode into life.""",general,"[21:54] Daniel Olmo Carvajal receives . Declan Rice under pressure, delivers the free kick a short pass through the air to Harry Kane into the central attacking third, INTERCEPTED! England loses the ball . Daniel Olmo Carvajal in the duel . Harry Kane receives under pressure in the central attacking third . Rodrigo Hernández Cascante under pressure, delivers the free kick a medium pass forward through the air to Álvaro Borja Morata Martín, but the pass doesn't find its target",97,N/A,0.1476,0.0138,0.03,0.3991,0.1,0.0,0.0
22,2,"Some thoughts from Senior Reporter Ben Knapton... ""Unlike the semi-final, this has been a much more tentative start from the Three Lions, who have conceded the lion's share of possession to Spain, albeit while defending resolutely - John Stones and Declan Rice have done their bits to snuff out attacks. While Nico Williams is looking lively on the left, Lamine Yamal is yet to get the better of Luke Shaw, making his first England start in over 12 months. Southgate's risky call is paying off so far, but this one is still waiting to explode into life.""",general,"[21:00] Bukayo Saka under pressure, plays a short pass along the ground to Phil Foden Phil Foden receives under pressure, carries the ball - BUT LOSES IT! . Marc Cucurella Saseta closes down Phil Foden ⚠ FOUL by Marc Cucurella Saseta in the right attacking third",96,N/A,0.0942,0.0,0.0,0.2825,0.0,0.0,0.0
24,1,"Not too much happening at the moment. We are still waiting for the first major chance here. Spain are controlling the possession, but England will also be relatively comfortable.",general,"[23:13] Nicholas Williams Arthuer receives under pressure in the left attacking third under pressure, delivers the corner a dangerous medium pass through the air to Aymeric Laporte into the central attacking third, but the pass doesn't find its target Aymeric Laporte receives under pressure in the central attacking third . John Stones clears the danger Bukayo Saka wins the ball back",104,N/A,0.1441,0.0,0.2,0.2322,0.0,0.0,1.0
24,2,"Not too much happening at the moment. We are still waiting for the first major chance here. Spain are controlling the possession, but England will also be relatively comfortable.",general,"[22:54] Daniel Olmo Carvajal intercepts! under pressure, carries the ball under pressure, plays a short pass along the ground to Lamine Yamal Nasraoui Ebana into the left attacking third Lamine Yamal Nasraoui Ebana receives under pressure in the left attacking third under pressure, carries the ball - BUT LOSES IT!",103,N/A,0.1371,0.0,0.2,0.2113,0.0,0.0,1.0
25,1,Carvajal is on his last warning here after pulling Saka to the ground... YELLOW CARD!  Kane picks up the first yellow of the match for a late tackle on Ruiz.,general,"[24:26] John Stones in the duel Kyle Walker under pressure, plays a medium pass forward along the ground to Bukayo Saka Bukayo Saka receives under pressure, drives forward with the ball from the left midfield into the left attacking third - BUT LOSES IT! . Álvaro Borja Morata Martín closes down Bukayo Saka",109,N/A,0.2758,0.0478,0.2429,0.5366,0.14285714285714285,0.0,1.0
25,2,Carvajal is on his last warning here after pulling Saka to the ground... YELLOW CARD!  Kane picks up the first yellow of the match for a late tackle on Ruiz.,general,"[24:10] Rodrigo Hernández Cascante closes down Kobbie Mainoo . Kobbie Mainoo under MASSIVE pressure, delivers the free kick a medium pass along the ground to Harry Kane Harry Kane receives under pressure in the central attacking third under pressure, carries the ball under pressure, delivers the free kick a medium pass forward along the ground to Luke Shaw into the right attacking third",106,N/A,0.2476,0.037,0.2429,0.4629,0.14285714285714285,0.0,1.0
25,3,Carvajal is on his last warning here after pulling Saka to the ground... YELLOW CARD!  Kane picks up the first yellow of the match for a late tackle on Ruiz.,general,"[24:02] John Stones under pressure, delivers the free kick a long ball forward through the air to Bukayo Saka into the left attacking third, but the pass doesn't find its target Bukayo Saka receives under pressure in the left attacking third in the duel . Marc Cucurella Saseta under pressure, delivers the free kick a medium pass forward through the air to Nicholas Williams Arthuer . Kobbie Mainoo closes down Marc Cucurella Saseta",105,N/A,0.2453,0.0175,0.2375,0.4809,0.125,0.0,1.0
25,4,Carvajal is on his last warning here after pulling Saka to the ground... YELLOW CARD!  Kane picks up the first yellow of the match for a late tackle on Ruiz.,general,"[24:15] Luke Shaw under pressure, carries the ball - BUT LOSES IT! . Rodrigo Hernández Cascante closes down Luke Shaw Robin Aime Robert Le Normand closes down the ball carrier . Luke Shaw under MASSIVE pressure, delivers the free kick a dangerous short pass along the ground to Kobbie Mainoo into the central attacking third Kobbie Mainoo receives under pressure in the central attacking third",107,N/A,0.2021,0.0096,0.2,0.3968,0.0,0.0,1.0
